manuf,model,retail,volt,no batteries,bat Ahr,bat lb,motor type,sound rating,hi cfm,lo cfm,hi mph,lo mph,weight,price,source
Milwaukee,27224-21,Ace Hardware,18.0,0.0,8.0,2.3,0.0,62.0,500.0,401.0,200.0,101.0,5.0,299.0,Milwaukee M18 FUEL 2724-21HD 120 mph 450 CFM 18 V Battery Handheld Blower Kit (Battery & Charger) - Ace Hardware
Milwaukee,2824-20,Ace Hardware,18.0,0.0,8.0,2.3,0.0,45.0,600.0,501.0,200.0,101.0,6.0,249.0,"Milwaukee M18 FUEL Dual Battery 2824-20 145 mph 600 CFM 18 V Battery Handheld Blower Tool Only (2 BATTERIES REQUIRED, NOT INCLUDED) - Ace Hardware"
Milwuakee,2824-20,Home Depot,18.0,2.0,8.0,2.3,0.0,64.0,600.0,600.0,145.0,145.0,6.0,549.0,https://www.homedepot.com/p/Milwaukee-M18-FUEL-18V-Brushless-Cordless-Dual-Battery-145-MPH-600-CFM-Blower-with-Dual-Bay-Rapid-Charger-and-Two-8Ah-HO-Batteries-2824-20-48-11-1880-48-11-1880-48-59-1802/322139002
Ridgid,R01601B,Home Depot,18.0,0.0,4.0,1.586,0.0,58.0,510.0,510.0,130.0,130.0,5.65,189.0,RIDGID 18V Brushless 130 MPH 510 CFM Cordless Battery Leaf Blower (Tool Only) R01601B - The Home Depot
Ridgid,R01601K,Home Depot,18.0,1.0,6.0,1.7,0.0,58.0,510.0,510.0,130.0,130.0,7.3,249.0,https://www.homedepot.com/p/RIDGID-18V-Brushless-130-MPH-510-CFM-Cordless-Battery-Leaf-Blower-with-6-0-Ah-MAX-Output-Battery-and-Charger-R01601K/323567305\
Ridgid,R8604301B,Home Depot,18.0,0.0,4.0,1.586,0.0,94.5,280.0,280.0,105.0,105.0,5.0,79.97,RIDGID 18V Cordless 105 MPH Jobsite Handheld Blower (Tool Only) R8604301B - The Home Depot
Ridgid,R86043B,Home Depot,18.0,0.0,4.0,1.586,0.0,79.0,110.0,110.0,160.0,160.0,2.2,69.0,RIDGID 18V Lithium-Ion Cordless Compact Jobsite Blower with Inflator/Deflator Nozzle R86043B - The Home Depot
Ryobi,DCBL722P1,Home Depot,40.0,1.0,4.0,4.3,1.0,68.0,525.0,525.0,110.0,110.0,13.7,169.0,RYOBI 40V 110 MPH 525 CFM Cordless Battery Variable-Speed Jet Fan Leaf Blower with 4.0 Ah Battery and Charger RY40480 - The Home Depot
Ryobi,P21012,Home Depot,18.0,1.0,4.0,1.6,0.0,62.0,350.0,350.0,110.0,110.0,7.0,203.0,https://www.homedepot.com/p/RYOBI-ONE-HP-18V-Brushless-110-MPH-350CFM-Cordless-Variable-Speed-Leaf-Blower-and-Lawn-Leaf-Bag-w-4-0-Ah-Battery-Charger-P21120-LB/319611266
Ryobi,P2107A,Home Depot,18.0,0.0,1.5,0.92,1.0,65.0,200.0,200.0,150.0,150.0,5.52,64.97,https://www.homedepot.com/p/RYOBI-ONE-18V-150-MPH-200-CFM-Cordless-Battery-Hybrid-Leaf-Blower-Sweeper-Tool-Only-P2107A/204839363
Ryobi,P21081,Home Depot,18.0,1.0,4.0,3.0,1.0,65.0,280.0,280.0,100.0,100.0,9.2,149.0,RYOBI ONE+ 18V 100 MPH 280 CFM Cordless Battery Variable-Speed Jet Fan Leaf Blower with 4.0 Ah Battery and Charger P2180 - The Home Depot
Ryobi,P21110,Home Depot,18.0,1.0,4.0,1.63,1.0,65.0,250.0,250.0,90.0,90.0,4.73,119.0,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-250-CFM-Cordless-Battery-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-P21110/315543023#overlay
Ryobi,P21110,Home Depot,18.0,0.0,4.0,1.63,1.0,65.0,250.0,250.0,90.0,90.0,4.73,89.97,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-250-CFM-Cordless-Battery-Leaf-Blower-Tool-Only-P21011BTL/315847506
Ryobi,P2190,Home Depot,18.0,1.0,2.0,0.9,1.0,65.0,200.0,200.0,90.0,90.0,4.5,109.0,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-200-CFM-Cordless-Battery-Leaf-Blower-Sweeper-with-2-0-Ah-Battery-and-Charger-P2190/303180069
Ryobi,P2190,Home Depot,18.0,0.0,2.0,0.9,1.0,65.0,200.0,200.0,90.0,90.0,4.5,99.0,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-200-CFM-Cordless-Battery-Leaf-Blower-Sweeper-Tool-Only-P2109BTL/303365519
Ryobi,RY404100,Home Depot,40.0,2.0,4.0,3.0,0.0,57.0,730.0,730.0,190.0,190.0,9.7,329.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-190-MPH-730-CFM-Cordless-Battery-Jet-Fan-Leaf-Blower-with-2-4-0-Ah-Batteries-Charger-RY404100/314600140?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On&cm_mmc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On-71700000113756914--&gclid=CjwKCAjwo9unBhBTEiwAipC11-rPuwDge-_KC-DmxtBG736j4wdTUA1mXCGoHuX1ZBSKPoy1Xynu-BoCZj4QAvD_BwE&gclsrc=aw.ds
Ryobi,RY404130,Home Depot,40.0,1.0,4.0,3.0,0.0,55.0,600.0,600.0,155.0,155.0,9.7,249.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-155-MPH-600-CFM-Cordless-Battery-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-RY404130/317312648?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On&cm_mmc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On-71700000113756914--&gclid=CjwKCAjwo9unBhBTEiwAipC11-mMb5YmUuse2ACzHw_l-2u5TWRsR1KOxrT4NZQdtmTT-7CPGnM46hoCZ28QAvD_BwE&gclsrc=aw.ds
Ryobi,RY404140,Home Depot,40.0,1.0,6.0,4.5,0.0,57.0,650.0,650.0,160.0,160.0,10.4,279.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-160-MPH-650-CFM-Cordless-Battery-Leaf-Blower-with-6-0-Ah-Battery-and-Charger-RY404140/319045509
Ryobi,RY404150,Home Depot,40.0,2.0,4.0,3.0,0.0,65.0,600.0,600.0,100.0,100.0,15.2,449.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-100-MPH-600-CFM-Cordless-Leaf-Blower-Mulcher-Vacuum-with-2-4-0-Ah-Batteries-and-Charger-RY404150/317348667
Ryobi,RY404170,Home Depot ,40.0,2.0,6.0,4.5,0.0,59.0,730.0,730.0,165.0,165.0,30.0,429.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-165-MPH-730-CFM-Cordless-Battery-Backpack-Blower-with-2-6-0-Ah-Batteries-and-Charger-RY404170/317348668
Ryobi,RY404180,Home Depot,40.0,2.0,6.0,4.5,0.0,57.0,730.0,730.0,190.0,190.0,9.7,628.0,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-730-CFM-Blower-and-Backpack-Battery-w-2-6-0-Ah-Batteries-Lawn-Leaf-Bag-RY404180-LB/323933088
