manuf,model,retail,volt,no batteries,bat Ahr,bat lb,motor type,sound rating,hi cfm,lo cfm,hi mph,lo mph,weight,price,source
Makita ,XBU04PTV,Home Depot,36,2,5,3.2,brushless,61,473,473,120,120,26.5,659,https://www.homedepot.com/p/Makita-120-MPH-473-CFM-LXT-18V-X2-36V-Lithium-Ion-Brushless-Cordless-Leaf-Blower-Kit-with-Vacuum-Attachment-Kit-5-0-Ah-XBU04PTV/313894232
Milwaukee,27224-21,Ace Hardware,18,0,8,2.3,brushless,62,500,401,200,101,5,299,Milwaukee M18 FUEL 2724-21HD 120 mph 450 CFM 18 V Battery Handheld Blower Kit (Battery & Charger) - Ace Hardware
Milwaukee,2824-20,Ace Hardware,18,0,8,2.3,brushless,45,600,501,200,101,6,249,"Milwaukee M18 FUEL Dual Battery 2824-20 145 mph 600 CFM 18 V Battery Handheld Blower Tool Only (2 BATTERIES REQUIRED, NOT INCLUDED) - Ace Hardware"
Milwuakee,2824-20,Home Depot,18,2,8,2.3,brushless,64,600,600,145,145,6,549,https://www.homedepot.com/p/Milwaukee-M18-FUEL-18V-Brushless-Cordless-Dual-Battery-145-MPH-600-CFM-Blower-with-Dual-Bay-Rapid-Charger-and-Two-8Ah-HO-Batteries-2824-20-48-11-1880-48-11-1880-48-59-1802/322139002
Ridgid,R01601B,Home Depot,18,0,4,1.586,brushless,58,510,510,130,130,5.65,189,RIDGID 18V Brushless 130 MPH 510 CFM Cordless Battery Leaf Blower (Tool Only) R01601B - The Home Depot
Ridgid,R01601K,Home Depot,18,1,6,1.7,brushless,58,510,510,130,130,7.3,249,https://www.homedepot.com/p/RIDGID-18V-Brushless-130-MPH-510-CFM-Cordless-Battery-Leaf-Blower-with-6-0-Ah-MAX-Output-Battery-and-Charger-R01601K/323567305\
Ridgid,R8604301B,Home Depot,18,0,4,1.586,brushless,94.5,280,280,105,105,5,79.97,RIDGID 18V Cordless 105 MPH Jobsite Handheld Blower (Tool Only) R8604301B - The Home Depot
Ridgid,R86043B,Home Depot,18,0,4,1.586,brushless,79,110,110,160,160,2.2,69,RIDGID 18V Lithium-Ion Cordless Compact Jobsite Blower with Inflator/Deflator Nozzle R86043B - The Home Depot
Ryobi,DCBL722P1,Home Depot,40,1,4,4.3,brushed,68,525,525,110,110,13.7,169,RYOBI 40V 110 MPH 525 CFM Cordless Battery Variable-Speed Jet Fan Leaf Blower with 4.0 Ah Battery and Charger RY40480 - The Home Depot
Ryobi,P21012,Home Depot,18,1,4,1.6,brushless,62,350,350,110,110,7,203,https://www.homedepot.com/p/RYOBI-ONE-HP-18V-Brushless-110-MPH-350CFM-Cordless-Variable-Speed-Leaf-Blower-and-Lawn-Leaf-Bag-w-4-0-Ah-Battery-Charger-P21120-LB/319611266
Ryobi,P2107A,Home Depot,18,0,1.5,0.92,brushed,65,200,200,150,150,5.52,64.97,https://www.homedepot.com/p/RYOBI-ONE-18V-150-MPH-200-CFM-Cordless-Battery-Hybrid-Leaf-Blower-Sweeper-Tool-Only-P2107A/204839363
Ryobi,P21081,Home Depot,18,1,4,3,brushed,65,280,280,100,100,9.2,149,RYOBI ONE+ 18V 100 MPH 280 CFM Cordless Battery Variable-Speed Jet Fan Leaf Blower with 4.0 Ah Battery and Charger P2180 - The Home Depot
